A3LT76	16	2.14070729872
K9PII4	57	2.53731617647
G0QSR3	18	2.50498812352
Q8IC15	3415	1126.932
B9QMZ7	1891	380.441304348
I1YLB3	24	2.18851087563
Q24DC7	85	5.03846153846
B0G126	4419	1240.37759336
B9WAN8	1887	10.3851662404
A3LYF1	15	3.49463860207
Q4WN65	18	3.53838020723
P32600	26	2.64210906464
P35169	14	3.10954735641
B8MGW0	20	2.82671149144
C5P040	33	6.43431750107
A2R7T9	28	8.32695578231
A3LVH6	6	1.49153737659
Q9Y7K2	15	1.97404491105
O14356	19	2.73910081744
K9Q8D9	8	2.14349052801
Q22UI8	27	2.95942830798
P34756	3356	108.643389831
F2QUN9	123	13.0475030451
A8IWA6	240	39.9335188621
Q3ATJ6	5	1.22974767596
Q12680	165	7.1153454249
F8P4N4	104	11.1035299182
C5P2L2	181	14.9214735822
Q8I3V5	1470	134.016311167
G3AT71	197	11.6620294599
B9W853	179	9.2929793699
A3LQK2	135	10.7362422664
Q4WJ35	156	17.2994955864
B8MKS1	98	18.4499239993
B0D3R7	139	9.67655723906
Q9VVA4	127	10.202012179
Q9C102	148	14.0925974366
K0KEN6	143	5.0553715097
Q24FA9	29	3.54987684729
B6AIG3	59	3.49664019548
G6GTH3	75	3.07239819005
F2QUZ5	12	2.11320754717
A2R164	32	7.1643258427
B8M0V0	28	2.52616523641
K0KJ37	39	4.76732249786
O59722	10	2.11419508327
B9WMA9	75	3.1544896821
K9ZM97	30	2.358951378
A3LYX2	12	3.57864421799
Q23AT4	42	3.45351609058
P37297	14	3.119953189
F2QTY0	78	14.6203048449
Q9USR3	20	3.20248538012
A4H8I3	85	4.99564744287
G0HDX9	247	40.248143294
P54674	4284	931.704668838
E5B0X3	238	15.8579940417
Q3M5Y2	10	2.29056517776
G9ANH3	204	15.7860568056
E6WIJ1	236	18.1288525808
E1SC35	203	14.1442023634
F2QLY1	60	4.12359550562
Q1GXP0	190	22.6804604854
G4T1W0	184	21.110719323
Q7UWM1	8	1.51972555746
D6ZCE4	226	35.5783002588
F9YBA5	189	29.6320474777
I1YFR0	164	12.8273591807
Q4WG47	28	3.65337186898
I9HZX9	198	8.12163965682
B9QN01	13	2.2
Q22XT7	41	4.48729792148
I7LWI5	68	4.14488286067
A3RTJ2	234	34.0273945211
Q3BS58	230	31.9313373253
Q8I239	1343	320.73957159
B9QN40	87	8.77065983344
P54675	2906	1064.12295082
B2GGY9	228	67.0622193714
I0LAX5	231	29.4833300454
A4XAT7	233	26.243714116
E6S756	227	52.1697104677
