Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
P00634	PPB_ECOLI	X04586;M13345;M29664;M29665;U73857;U00096;AP009048;M33536;J01659;J01660;J01661;J05005;M14399;M13763;		phoA b0383 JW0374	Alkaline phosphatase (APase) (EC 3.1.3.1)
P19405	PPB3_BACSU	D88802;AL009126;M33634;		phoB phoAIII BSU05740	Alkaline phosphatase 3 (EC 3.1.3.1) (Alkaline phosphatase III) (APase III)
P19406	PPB4_BACSU	U02550;Y14082;AL009126;L26337;		phoA phoAIV BSU09410	Alkaline phosphatase 4 (EC 3.1.3.1) (Alkaline phosphatase IV) (APase IV)
P42251	PPBD_BACSU	U49060;AL009126;D30808;		phoD ycbS BSU02620	Alkaline phosphatase D (APaseD) (EC 3.1.3.1)
A1YYW7	ALPH_SPHSX	EF143994;		phoK	Alkaline phosphatase PhoK (EC 3.1.3.1) (SPAP protein)
Q5NNZ8	ALPH_ZYMMO	L36230;AE008692;		phoD ZMO0938	Alkaline phosphatase PhoD (ALPI) (EC 3.1.3.1) (Type I phosphodiesterase/nucleotide pyrophosphatase)
P35483	PPBH_PSEAE	AE004091;		phoA PA3296	Alkaline phosphatase H (EC 3.1.3.1) (High molecular weight phosphatase) (H-AP)
P35482	PPBL_PSEAE	AF047381;AE004091;		pstS PA0688	Alkaline phosphatase L (L-AP) (EC 3.1.3.1) (Low molecular weight phosphatase)
P21948	PPB_ESCF3	M33966;CU928158;		phoA EFER_2640	Alkaline phosphatase (APase) (EC 3.1.3.1)
P19147	PPB_SERMA	M33965;		phoA	Alkaline phosphatase (APase) (EC 3.1.3.1)
Q9KJX5	ALPH_ELIME	AF157621;		pafA	Alkaline phosphatase PafA (AP PafA) (EC 3.1.3.1)
Q55320	ALPH_SYNE7	Z48801;		phoV	Alkaline phosphatase PhoV (APase PhoV) (EC 3.1.3.1)
Q8NMV7	Q8NMV7_CORGL	BA000036;BX927155;		phoB cg2700 Cgl2457	ALKALINE PHOSPHATASE (EC 3.1.3.1) (Alkaline phosphatase) (EC 3.1.3.1)
P81800	PPB1_PREIN				Alkaline phosphatase (ALPase) (EC 3.1.3.1) (PiALP) (Fragment)
